City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Crestview ,F,27.3,NA,0.279,0.163,0.058,F,0.188,0.031,0.092,0.045,20978,0.044,2265,0.644,0.091,2.66,15475,7319,0.184,1309.2,D,0.288,0.005,S,0.066,474557000,S,0.186,9153,0.714,14766,24463,0.677,NA,172600,0.089,0.807,0.421,16.02,0.003,21382,0.511,38761000,0.869,47306
Timber Pines ,S,24.8,NA,0.012,0.03,0.071,S,0.259,0.004,0.858,S,5386,0.003,S,0.979,0.003,1.73,71867,2973,0.025,2430.5,D,S,Z,S,0.014,855000,S,0.003,3790,0.987,5840,NA,0.977,NA,178900,0.051,0.906,-0.078,2.22,Z,30562,0.556,D,0.939,41568
Land O' Lakes ,F,31.2,NA,0.247,0.051,0.114,F,0.348,0.029,0.114,0.133,31996,0.026,4882,0.847,0.055,2.71,39200,11820,0.077,1680.7,56376000,0.274,0.003,S,0.152,265335000,S,0.05,13114,0.868,20971,NA,0.752,NA,234100,0.161,0.857,0.526,19.04,0.001,29582,0.504,39139000,0.927,67689
Sunrise ,F,28,210958000,0.224,0.103,0.356,F,0.249,0.041,0.152,0.213,84439,0.033,11394,0.759,0.06,2.64,69700,31906,0.469,4666.4,1828512000,0.34,0.003,0.037,0.256,2125232000,0.248,0.318,37609,0.564,85779,23887,0.367,NA,199900,0.348,0.872,-0.016,18.09,0.001,23679,0.535,181745000,0.884,49496
Royal Palm Beach (village),S,29.6,NA,0.271,0.076,0.209,F,0.272,0.042,0.108,0.182,34140,0.03,3670,0.858,0.064,2.97,62100,10856,0.16,3049,15421000,0.329,0.002,S,0.204,592605000,0.189,0.227,12854,0.666,21523,19513,0.511,NA,256400,0.233,0.895,0.586,11.2,Z,27169,0.522,61112000,0.888,65459
Oakland Park ,F,24.7,246730000,0.201,0.133,0.318,F,0.239,0.02,0.097,0.187,41363,0.035,6904,0.616,0.063,2.31,50575,18027,0.509,5545.4,430398000,0.283,0.003,0.03,0.256,594304000,0.14,0.256,20076,0.626,30966,14209,0.451,NA,207500,0.392,0.795,0.336,7.46,0.001,25274,0.465,82727000,0.839,45233
Poinciana ,F,42.4,NA,0.293,0.161,0.207,F,0.159,0.018,0.132,0.57,53193,0.05,1725,0.787,0.07,3.06,57900,16375,0.041,740.1,D,S,0.007,F,0.512,140588000,S,0.245,21318,0.564,13647,NA,0.226,NA,189500,0.531,0.823,2.898,71.88,0.002,17407,0.519,7075000,0.849,45210
Longboat Key ,F,22.8,NA,0.029,0.041,0.137,F,0.582,0.007,0.673,F,6888,0.004,745,0.938,0.006,1.82,41150,3780,0.696,1667.8,8083000,0.189,0.001,F,0.011,53280000,F,0.002,8814,0.984,7603,7321,0.975,NA,723100,0.086,0.928,-0.094,4.13,0,96061,0.537,93841000,0.978,102600
Pasadena Hills ,F,29.3,NA,0.199,0.033,0.04,F,0.183,0.022,0.25,F,7570,0.021,F,0.875,0.048,2.52,55305,2755,0.003,250.3,NA,F,0.004,F,0.106,NA,F,0.051,3761,0.882,NA,NA,0.807,NA,149400,0.07,0.864,NA,30.25,0,29101,0.508,NA,0.81,57317
Bellair-Meadowbrook Terrace ,F,26.1,NA,0.239,0.1,0.08,F,0.165,0.027,0.126,0.114,13343,0.036,1526,0.488,0.069,2.29,5025,5589,0.411,3179.9,79259000,0.204,0.005,S,0.126,546714000,S,0.179,5815,0.709,16539,NA,0.643,NA,139200,0.152,0.706,-0.193,4.2,0.002,22685,0.52,82021000,0.931,43323
Atlantic Beach ,S,25.4,NA,0.198,0.118,0.058,F,0.416,0.019,0.174,S,12655,0.028,1993,0.697,0.049,2.41,2400,5391,0.207,3621.9,30247000,0.292,0.005,S,0.054,70353000,S,0.108,6174,0.825,13368,5301,0.792,NA,359700,0.078,0.855,-0.053,3.49,0.001,36774,0.518,D,0.904,61868
Miami Springs ,F,24.6,NA,0.207,0.075,0.436,F,0.312,0.012,0.165,0.725,13809,0.017,2190,0.649,0.054,2.71,45200,4988,0.259,4794.8,31609000,0.298,0.002,F,0.712,41573000,S,0.016,5361,0.934,13712,3233,0.263,NA,358100,0.694,0.878,0.007,2.88,0,29401,0.522,50479000,0.886,61636
Ojus ,F,28.6,NA,0.219,0.107,0.408,F,0.342,0.021,0.149,0.391,18036,0.029,2444,0.828,0.054,2.68,51125,6263,0.568,6816.3,35493000,0.341,0.001,S,0.442,15636000,S,0.101,8146,0.812,16642,NA,0.431,NA,212800,0.581,0.905,0.084,2.65,Z,28106,0.526,7736000,0.877,49006
Niceville ,F,21.2,NA,0.216,0.081,0.051,F,0.342,0.032,0.152,S,12749,0.039,1540,0.768,0.052,2.44,48750,5245,0.123,1116.4,6487000,S,0.006,S,0.047,92316000,F,0.042,5695,0.872,11684,7462,0.84,NA,219000,0.066,0.875,0.091,11.42,0.001,30428,0.506,19180000,0.926,66658
Margate ,F,26.8,NA,0.205,0.11,0.297,F,0.216,0.04,0.191,0.241,53284,0.033,6354,0.783,0.057,2.44,43125,21895,0.474,6018.1,163934000,0.313,0.004,0.032,0.222,1071408000,0.199,0.258,24863,0.62,53909,19755,0.46,NA,169100,0.346,0.87,-0.012,8.85,0.001,24238,0.532,73339000,0.836,45815
Riverview ,S,31.6,NA,0.291,0.088,0.104,F,0.258,0.031,0.077,0.148,71050,0.04,2902,0.799,0.08,2.82,60950,22951,0.08,1538.1,54029000,S,0.004,S,0.21,182426000,S,0.17,27513,0.702,12035,NA,0.568,NA,206200,0.232,0.84,4.904,46.19,0.001,26317,0.519,21074000,0.892,65020
Fort Pierce North ,F,24.1,NA,0.259,0.218,0.088,F,0.125,0.001,0.158,F,6474,0.022,333,0.787,0.068,2.92,24337,2410,0.077,1522.9,18776000,0.33,0.003,F,0.111,8248000,S,0.706,2881,0.216,7386,NA,0.175,NA,89900,0.152,0.909,-0.123,4.25,0.001,15226,0.516,D,0.724,32412
Seffner ,S,24.7,NA,0.257,0.111,0.096,S,0.196,0.038,0.098,S,7579,0.027,S,0.85,0.067,2.8,64925,2668,0.072,2108.2,4932000,S,0.005,S,0.159,219469000,S,0.132,2919,0.765,5467,NA,0.653,NA,199600,0.159,0.799,0.386,3.6,Z,24800,0.509,14746000,0.864,55294
St. Augustine Beach ,F,23.2,NA,0.158,0.12,0.055,F,0.393,0.012,0.201,F,6176,0.012,385,0.675,0.04,2.19,62525,2732,0.448,2917.3,D,S,0.003,F,0.038,49146000,F,0.008,4275,0.958,4683,8227,0.928,NA,347200,0.055,0.808,0.319,2.12,Z,34739,0.52,D,0.955,48432
University (CDP (Orange)),F,27.1,NA,0.099,0.283,0.141,F,0.362,0.055,0.032,F,31084,0.023,F,0.47,0.028,2.66,73172,6738,0.364,3424.5,NA,F,0.003,F,0.21,NA,F,0.121,7992,0.741,NA,NA,0.603,NA,197200,0.261,0.605,NA,9.08,0.001,17196,0.495,NA,0.866,36038
Pensacola ,S,18.5,300526000,0.196,0.169,0.056,F,0.334,0.02,0.176,0.02,51923,0.023,7986,0.637,0.055,2.21,55925,23768,0.262,2303.5,472307000,0.281,0.006,S,0.033,1160355000,S,0.28,26848,0.663,56255,21499,0.643,NA,168400,0.072,0.815,-0.077,22.54,0.001,29341,0.526,208636000,0.883,43574
Pinecrest (village),F,28.4,NA,0.273,0.042,0.317,F,0.659,0.053,0.12,0.289,18223,0.016,3103,0.773,0.043,3.06,56625,5987,0.223,2449,67734000,S,0.001,S,0.413,1363877000,S,0.02,6619,0.901,19055,71700,0.504,NA,802900,0.471,0.915,-0.044,7.44,0,56723,0.513,22882000,0.974,105557
Myrtle Grove ,F,21.1,NA,0.206,0.233,0.071,F,0.176,0.051,0.148,F,15870,0.046,1118,0.58,0.065,2.53,47550,5869,0.284,2389.3,647000,S,0.006,S,0.064,67583000,S,0.184,6955,0.69,17211,NA,0.658,NA,127200,0.118,0.73,-0.078,6.64,0.002,18973,0.483,7109000,0.904,39447
Jacksonville Beach ,F,21.2,NA,0.148,0.116,0.049,F,0.382,0.017,0.137,0.022,21362,0.022,2665,0.587,0.044,2.17,35050,9800,0.406,2913.1,63978000,0.251,0.002,S,0.043,411118000,S,0.039,11882,0.909,20990,18837,0.879,NA,327500,0.085,0.81,0.018,7.33,Z,37741,0.494,D,0.922,60447
Key West ,F,11.7,NA,0.145,0.13,0.185,F,0.283,0.016,0.128,S,24649,0.021,5020,0.433,0.049,2.53,36550,9388,0.419,4411.8,23729000,0.261,0.004,S,0.212,563566000,S,0.097,14107,0.838,25478,24825,0.661,NA,559100,0.212,0.805,-0.033,5.59,0.002,30304,0.446,396405000,0.884,50309
Boynton Beach ,S,22.7,108101000,0.193,0.134,0.235,F,0.246,0.022,0.214,S,68217,0.022,8843,0.685,0.058,2.28,7875,29172,0.448,4217.4,457449000,0.342,0.003,S,0.128,1191849000,0.18,0.303,36289,0.624,60389,17610,0.536,NA,198700,0.292,0.825,0.13,16.18,Z,27034,0.528,137997000,0.85,44372
Sugarmill Woods ,F,23.3,NA,0.106,0.113,0.056,F,0.277,0.014,0.453,F,8287,0.011,719,0.917,0.027,2.07,68950,3507,0.034,312,5022000,S,0.002,F,0.036,9509000,F,0.018,4772,0.95,6409,NA,0.923,NA,186400,0.069,0.908,0.293,26.56,Z,28225,0.52,D,0.917,45605
Tamiami ,S,32.6,NA,0.196,0.095,0.65,F,0.257,0.007,0.17,0.801,55271,0.013,8673,0.813,0.045,3.35,70700,16288,0.18,7819.9,28738000,0.273,0.001,S,0.927,240917000,0.047,0.013,17256,0.945,54788,NA,0.062,NA,290100,0.938,0.889,0.009,7.07,Z,22345,0.528,37920000,0.764,53456
Southgate ,F,19.1,NA,0.162,0.086,0.175,F,0.295,0.017,0.224,S,7173,0.017,950,0.729,0.046,2.26,67425,3465,0.177,3591.9,D,0.364,0.005,F,0.132,38340000,F,0.016,3993,0.899,7455,NA,0.82,NA,230700,0.196,0.819,-0.038,2,0.001,28026,0.512,8508000,0.892,51349
West Perrine ,F,33,NA,0.28,0.291,0.246,F,0.179,0.01,0.11,0.428,9460,0.022,1001,0.542,0.078,3.49,76700,2843,0.215,5387.2,D,0.283,0.003,F,0.317,96473000,S,0.627,3336,0.309,8600,NA,0.052,NA,209500,0.319,0.811,0.1,1.76,0,14856,0.527,D,0.812,31106
Largo ,F,20.7,640861000,0.156,0.115,0.119,F,0.197,0.027,0.26,0.044,77648,0.024,6866,0.621,0.045,2.06,39425,36806,0.387,4407.3,D,0.269,0.003,S,0.09,1308043000,S,0.056,46859,0.863,69371,17717,0.808,NA,122700,0.12,0.835,0.119,17.62,0.002,25262,0.528,127749000,0.862,40261
Indian River Estates ,F,25.2,NA,0.168,0.092,0.052,F,0.112,0.007,0.266,F,6220,0.014,420,0.865,0.037,2.39,33585,2614,0.03,1122.7,2638000,0.352,0.005,F,0.063,7959000,F,0.031,3044,0.929,5793,NA,0.885,NA,161200,0.056,0.909,0.074,5.54,0.001,24065,0.515,D,0.779,45566
Pace ,F,26.2,NA,0.26,0.098,0.035,F,0.244,0.015,0.118,F,20039,0.027,756,0.81,0.059,2.71,53725,7187,0.063,827,7979000,0.206,0.01,S,0.036,90846000,F,0.019,7956,0.921,7393,NA,0.897,NA,173900,0.059,0.811,1.711,24.23,0.001,25039,0.511,13279000,0.906,57266
Citrus Springs ,F,29.7,NA,0.236,0.148,0.085,F,0.15,0.015,0.222,F,8622,0.024,F,0.859,0.063,2.72,12450,2809,0.001,407.8,NA,F,0.004,F,0.093,NA,F,0.051,4017,0.889,4157,NA,0.823,NA,146900,0.108,0.812,1.074,21.15,Z,18282,0.521,NA,0.892,42403
Sky Lake ,F,21.6,NA,0.243,0.095,0.323,F,0.124,0.027,0.134,S,6153,0.054,738,0.678,0.063,2.74,66425,1790,0.32,4864,9478000,S,0.007,S,0.521,166271000,S,0.166,2304,0.639,5651,NA,0.288,NA,172600,0.507,0.85,0.089,1.27,0.003,20913,0.498,25007000,0.805,46204
Trinity ,F,29.5,NA,0.239,0.023,0.091,F,0.336,0.029,0.214,F,10907,0.014,F,0.969,0.052,2.77,72442,3904,0,2358.8,NA,F,0.002,F,0.055,NA,F,0.015,4359,0.932,4279,NA,0.888,NA,326000,0.128,0.892,1.549,4.62,Z,36423,0.518,NA,0.939,85390
Cape Coral ,S,25.9,101191000,0.224,0.097,0.153,S,0.204,0.015,0.17,0.189,154305,0.023,18476,0.764,0.054,2.65,10275,56313,0.17,1460.2,115455000,0.282,0.003,0.02,0.195,1227981000,0.04,0.043,78948,0.882,102286,7934,0.735,NA,222700,0.224,0.828,0.509,105.67,0.001,25090,0.512,125918000,0.89,52761
Villas ,F,19.8,NA,0.136,0.097,0.176,F,0.316,0.015,0.284,0.098,11569,0.021,1551,0.657,0.036,2.04,74512,5368,0.629,2488.5,98402000,S,0.002,F,0.131,845954000,0.039,0.042,7922,0.881,11346,NA,0.8,NA,152800,0.199,0.779,0.02,4.65,0.001,32044,0.533,D,0.895,47517
Lake Wales ,F,20.5,D,0.238,0.241,0.093,F,0.176,0.008,0.23,S,14225,0.022,1262,0.604,0.07,2.35,38950,5710,0.326,761,165398000,0.267,0.005,S,0.156,514993000,S,0.275,6900,0.65,10194,36418,0.55,NA,146800,0.143,0.794,0.395,18.69,0.001,18603,0.526,32893000,0.804,36354
Winter Haven ,S,25,279238000,0.223,0.22,0.101,F,0.187,0.02,0.223,0.069,33874,0.023,4088,0.588,0.065,2.33,78275,14025,0.349,1082.3,205695000,0.263,0.003,S,0.11,667524000,0.126,0.277,17037,0.647,26487,20600,0.581,NA,134400,0.159,0.781,0.279,31.3,0.001,20771,0.537,69952000,0.836,37502
Dania Beach ,F,23.8,131795000,0.188,0.153,0.273,F,0.237,0.021,0.148,0.169,29639,0.026,3778,0.591,0.059,2.3,16335,12749,0.478,3662.3,581280000,0.226,0.003,S,0.224,564102000,0.084,0.218,15671,0.696,NA,20005,0.526,NA,207100,0.327,0.818,NA,8.09,0.001,24739,0.507,106372000,0.857,44569
Meadow Woods ,F,26.2,NA,0.292,0.124,0.266,F,0.241,0.046,0.071,0.643,25558,0.046,1796,0.674,0.07,3.34,43800,7111,0.186,2243.1,1526000,0.352,0.004,S,0.672,33723000,S,0.138,8973,0.612,11286,NA,0.147,NA,221800,0.707,0.827,1.265,11.39,0.002,17371,0.52,1880000,0.854,46725
Orange Park ,F,26.2,NA,0.201,0.13,0.09,F,0.252,0.032,0.222,0.056,8412,0.034,2064,0.615,0.06,2.24,52125,3524,0.346,2321.2,25025000,0.349,0.003,0.05,0.088,123917000,0.037,0.148,3880,0.759,9081,13761,0.709,NA,190000,0.13,0.85,-0.074,3.62,0.001,27217,0.524,31199000,0.869,52056
Brent ,F,19.1,NA,0.231,0.245,0.086,F,0.169,0.038,0.1,0.027,21804,0.032,1651,0.593,0.078,2.6,8300,7198,0.204,2100.4,420449000,0.241,0.008,0.064,0.042,1148633000,S,0.391,8074,0.517,22257,NA,0.496,NA,102800,0.116,0.793,-0.02,10.38,0.003,14995,0.531,29588000,0.836,31980
Naples Manor ,F,24.8,NA,0.351,0.341,0.443,F,0.037,0.004,0.051,S,5562,0.037,284,0.727,0.096,4.84,47650,1090,0.24,8240,NA,S,0.006,F,0.719,14970000,S,0.198,1430,0.574,5186,NA,0.079,NA,187500,0.811,0.921,0.073,0.68,0.001,10555,0.475,757000,0.388,32158
Immokalee ,F,30.2,NA,0.337,0.412,0.467,F,0.039,0.002,0.054,0.485,24154,0.041,1320,0.463,0.107,4.79,33250,3952,0.228,1064,240331000,S,0.01,S,0.756,90331000,0.137,0.189,6816,0.432,19763,NA,0.041,NA,97600,0.84,0.921,0.222,22.7,0.002,9948,0.447,18985000,0.297,23897
South Patrick Shores ,F,24.8,NA,0.167,0.084,0.105,F,0.394,0.023,0.218,S,5875,0.021,594,0.82,0.038,2.34,67725,2433,0.18,4062.9,D,S,0.005,F,0.051,12457000,S,0.014,2939,0.928,8913,NA,0.891,NA,280200,0.118,0.88,-0.341,1.45,0.001,38858,0.501,4757000,0.95,65373
Fort Myers ,F,24.7,367827000,0.227,0.236,0.202,F,0.215,0.016,0.144,0.108,62298,0.028,9939,0.458,0.073,2.49,24125,24352,0.548,1559.1,1049482000,0.282,0.006,0.044,0.2,2577740000,0.072,0.323,35138,0.546,48208,40829,0.446,NA,180000,0.27,0.743,0.292,39.96,0.001,23170,0.499,260086000,0.775,37793
Lakewood Park ,F,22.2,NA,0.189,0.088,0.078,F,0.111,0.015,0.239,S,11323,0.019,663,0.822,0.051,2.35,39062,5056,0.08,1703.5,D,S,0.003,F,0.065,29568000,S,0.099,5896,0.849,10458,NA,0.801,NA,121000,0.098,0.87,0.083,6.65,Z,21895,0.516,4064000,0.874,39160
Bellview ,F,23.7,NA,0.239,0.133,0.083,F,0.175,0.044,0.131,F,23355,0.042,1281,0.78,0.073,2.69,5462,8892,0.121,2006.1,17572000,S,0.008,S,0.044,82101000,S,0.183,10022,0.71,21201,NA,0.685,NA,127200,0.097,0.842,0.102,11.64,0.002,21296,0.526,15648000,0.871,47889
Cooper City ,S,26.4,NA,0.257,0.044,0.227,F,0.388,0.055,0.088,S,28547,0.024,3354,0.896,0.047,3.07,14125,9321,0.047,3551.1,81348000,0.264,0.003,S,0.228,278796000,S,0.049,9912,0.851,27939,9594,0.651,NA,372100,0.291,0.918,0.022,8.04,Z,35061,0.516,33044000,0.942,91315
Winter Garden ,F,26.3,212411000,0.281,0.077,0.164,F,0.316,0.051,0.096,S,34568,0.036,3542,0.732,0.078,2.91,78250,10569,0.152,2243.2,303293000,0.299,0.004,S,0.22,298046000,S,0.16,13260,0.688,14351,10453,0.543,NA,247200,0.236,0.829,1.409,15.41,0.001,25803,0.516,25671000,0.886,62152
Edgewater ,S,24.7,144234000,0.192,0.094,0.034,F,0.146,0.009,0.221,S,20750,0.016,2406,0.82,0.051,2.42,19825,8605,0.071,934,36971000,0.209,0.003,S,0.034,123768000,S,0.026,9929,0.941,18668,5750,0.914,NA,167400,0.054,0.839,0.112,22.22,Z,23460,0.517,18676000,0.884,45811
Lake Magdalene ,F,25.3,NA,0.191,0.115,0.13,F,0.332,0.028,0.166,0.131,28509,0.03,3560,0.681,0.046,2.38,38350,12263,0.26,2787.3,363462000,0.261,0.003,S,0.211,845218000,0.059,0.077,13427,0.828,28755,NA,0.669,NA,212900,0.24,0.817,-0.009,10.23,0.001,33363,0.525,43378000,0.891,51842
Pelican Bay ,F,16.3,NA,0.023,0.031,0.097,F,0.636,0.008,0.726,F,6346,0.002,869,0.919,0.004,1.76,55650,3420,0.758,2152.6,4193000,0.142,Z,F,0.01,220857000,F,0.001,6483,0.988,5686,NA,0.979,NA,861300,0.075,0.924,0.116,2.95,0,104459,0.541,137026000,0.989,102468
The Hammocks ,S,36.8,NA,0.233,0.092,0.521,F,0.351,0.031,0.098,0.692,51003,0.029,6337,0.652,0.054,3.11,71569,15967,0.32,6470,25188000,0.267,0.002,S,0.769,264148000,S,0.061,17565,0.85,47379,NA,0.14,NA,284700,0.819,0.861,0.076,7.88,Z,23656,0.525,25164000,0.907,59843
Navarre ,F,30.2,NA,0.268,0.114,0.074,F,0.271,0.033,0.092,F,31378,0.044,F,0.778,0.072,2.73,48050,10773,0.052,1364.1,NA,F,0.005,F,0.07,NA,F,0.065,12746,0.832,NA,NA,0.791,NA,217700,0.108,0.792,NA,23,0.002,25874,0.503,NA,0.913,61879
The Villages ,F,20.2,NA,0.003,0.037,0.054,F,0.309,0.007,0.698,S,51442,0.003,2047,0.969,0.001,1.79,71625,22511,0.001,1669.8,4948000,0.339,0.001,F,0.015,160323000,F,0.006,35587,0.982,8333,NA,0.969,NA,225100,0.047,0.901,5.173,30.81,Z,34046,0.532,23852000,0.938,50247
Palm Beach ,F,16.7,NA,0.069,0.059,0.165,F,0.589,0.01,0.558,S,8348,0.005,2148,0.844,0.017,1.78,54025,4887,0.72,1997.6,51408000,0.21,Z,F,0.039,441514000,F,0.006,9091,0.974,10468,46203,0.941,NA,941200,0.109,0.89,-0.203,4.18,0,130891,0.552,300191000,0.971,110935
Fish Hawk ,F,35.5,NA,0.386,0.022,0.059,F,0.529,0.035,0.049,F,14087,0.026,F,0.9,0.076,3.3,22387,3920,0.027,868.8,NA,F,0.001,F,0.117,NA,F,0.042,4576,0.881,1991,NA,0.786,NA,301500,0.094,0.899,6.075,16.21,0.001,38566,0.51,NA,0.975,105845
North Weeki Wachee ,F,25.2,NA,0.157,0.129,0.063,F,0.199,0.008,0.325,F,8524,0.014,F,0.936,0.031,2.34,49905,3590,0.045,607.9,NA,F,0.003,F,0.083,NA,F,0.023,4460,0.941,4253,NA,0.875,NA,187900,0.109,0.902,1.004,14.02,Z,22817,0.508,NA,0.86,44436
Mount Dora ,F,26.6,NA,0.186,0.133,0.113,F,0.273,0.018,0.268,0.049,12370,0.018,1907,0.605,0.056,2.22,47050,5511,0.268,1542,10987000,0.263,0.004,S,0.117,445757000,0.033,0.156,6942,0.775,9418,35678,0.695,NA,229100,0.121,0.834,0.313,8.02,0.001,28830,0.539,38109000,0.883,44735
Sunny Isles Beach ,F,32.6,NA,0.151,0.125,0.601,F,0.474,0.014,0.214,0.43,20832,0.022,3287,0.575,0.048,1.93,69555,10266,0.952,20524.1,9608000,0.308,0.002,S,0.444,155795000,S,0.032,18984,0.906,NA,9439,0.502,NA,338400,0.7,0.849,NA,1.02,Z,42498,0.524,162739000,0.905,45708
Hialeah ,S,24.9,917002000,0.191,0.201,0.732,F,0.135,0.004,0.191,0.814,224669,0.016,44336,0.522,0.05,2.99,30000,73826,0.474,10474.1,1438117000,0.263,0.001,0.013,0.947,2449708000,S,0.027,74067,0.926,226419,11338,0.042,NA,219900,0.942,0.91,-0.008,21.45,Z,15080,0.517,232152000,0.667,31648
Oldsmar ,F,28,214454000,0.237,0.084,0.108,F,0.269,0.059,0.124,S,13591,0.024,1837,0.741,0.059,2.68,51350,4922,0.252,1561.6,343867000,S,0.002,0.015,0.114,306097000,S,0.054,5871,0.84,11910,22629,0.755,NA,195300,0.182,0.851,0.141,8.7,0.001,28073,0.52,70162000,0.872,55609
Fernandina Beach ,F,26,D,0.163,0.172,0.05,F,0.327,0.011,0.223,S,11487,0.016,2355,0.718,0.038,2.31,22175,4789,0.244,1031.8,127702000,S,0.004,S,0.053,229970000,0.013,0.117,7064,0.834,10549,20048,0.802,NA,289500,0.094,0.82,0.089,11.13,0.001,30019,0.527,60888000,0.905,45954
Wesley Chapel ,F,33.6,NA,0.283,0.06,0.141,F,0.351,0.057,0.089,0.22,44092,0.036,1754,0.814,0.075,2.71,75875,14491,0.088,1004.4,1785000,S,0.003,S,0.201,451828000,S,0.114,17764,0.75,5691,NA,0.606,NA,211800,0.224,0.788,6.748,43.9,0.001,29355,0.516,13425000,0.939,69673
Rio Pinar ,F,25.2,NA,0.209,0.02,0.147,F,0.33,0.045,0.158,F,5211,0.021,F,0.898,0.046,2.93,60562,1789,0,2395.9,NA,F,0.002,F,0.252,NA,F,0.064,1982,0.829,NA,NA,0.632,NA,292400,0.265,0.835,NA,2.18,0.001,31229,0.503,NA,0.936,78984
Delray Beach ,F,21.6,152321000,0.161,0.134,0.217,F,0.331,0.018,0.236,0.08,60522,0.017,9294,0.672,0.047,2.24,17100,27116,0.517,3828.3,477911000,0.285,0.002,S,0.095,1568835000,0.11,0.28,34156,0.657,60020,24558,0.592,NA,260000,0.269,0.82,0.008,15.81,0.001,36571,0.519,218434000,0.847,49745
Perry ,F,17.3,D,0.25,0.332,0.025,F,0.134,0.014,0.161,F,7017,0.021,702,0.776,0.08,2.91,56150,2366,0.079,748,D,S,0.005,S,0.022,198904000,F,0.401,3115,0.55,6847,29634,0.542,NA,77200,0.029,0.886,0.025,9.38,Z,15241,0.534,15508000,0.801,26216
East Lake-Orient Park ,F,22.8,NA,0.276,0.181,0.137,F,0.151,0.028,0.079,0.107,22753,0.037,382,0.515,0.083,2.61,19212,9197,0.382,1393.8,166254000,0.319,0.005,F,0.172,D,S,0.438,10200,0.452,5703,D,0.349,NA,125900,0.216,0.774,2.99,16.32,0.001,17587,0.52,D,0.827,39163
Lantana ,S,24.5,NA,0.214,0.174,0.267,F,0.187,0.015,0.138,S,10423,0.028,1273,0.526,0.061,2.41,39375,4164,0.462,4547.6,4276000,S,0.004,S,0.186,209994000,S,0.22,5186,0.693,9437,20750,0.563,NA,216100,0.376,0.773,0.104,2.29,0.001,25515,0.495,37055000,0.799,41624
Azalea Park ,S,24.6,NA,0.248,0.172,0.196,F,0.147,0.037,0.102,0.514,12556,0.042,1247,0.566,0.072,2.95,2850,4447,0.36,3952.2,25092000,0.281,0.004,0.065,0.59,158432000,S,0.103,4948,0.674,11073,NA,0.285,NA,168300,0.593,0.804,0.134,3.18,0.001,15559,0.505,D,0.835,36062
Southeast Arcadia ,S,26.2,NA,0.285,0.362,0.19,S,0.039,0.005,0.101,S,6554,0.034,S,0.803,0.093,3.54,67355,1698,0.05,902.4,NA,S,0.006,S,0.567,NA,S,0.049,2327,0.555,6064,NA,0.372,NA,83700,0.367,0.932,0.081,7.26,Z,12236,0.436,NA,0.591,28782
Lake Lorraine ,F,19.2,NA,0.212,0.129,0.063,F,0.363,0.038,0.17,0.06,7010,0.054,678,0.643,0.056,2.42,38287,2930,0.216,3501.5,D,0.335,0.005,0.06,0.079,5168000,F,0.09,3250,0.788,7106,NA,0.744,NA,251600,0.059,0.753,-0.014,2,0.004,31541,0.509,3891000,0.961,55859
Orlando ,S,24.3,5742117000,0.219,0.166,0.186,0.002,0.323,0.038,0.094,0.186,238300,0.034,30564,0.402,0.071,2.36,53000,97661,0.586,2327.3,5439593000,0.286,0.004,0.05,0.254,7481230000,0.121,0.281,121254,0.576,185951,32493,0.413,NA,217500,0.313,0.699,0.282,102.4,0.001,25854,0.514,1514522000,0.866,42355
Miami Shores (village),F,23.9,NA,0.2,0.077,0.261,F,0.444,0.026,0.117,S,10493,0.028,1560,0.843,0.057,2.65,45175,3477,0.124,4192.2,54869000,0.367,0.003,S,0.306,107101000,S,0.238,3935,0.681,10380,10605,0.421,NA,406700,0.345,0.857,0.011,2.5,0.001,33635,0.51,16941000,0.902,80854
