City,State,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007 ($1000)  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 (a)  ","Persons 65 years and over, percent,  2010  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ",FIPS Code  ,"Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 (a)  ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 (b)  ","Retail sales, 2007 ($1000)  ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 (a)  ","Housing units, 2010  ","White persons, percent, 2010 (a)  ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year &amp; over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",Per capita money income in past 12 months (2010 dollars) 2006-2010  ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007 ($1000)  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  
Dover ,Delaware,F,20.3,1413540000,0.215,0.172,0.067,F,0.277,0.027,0.144,0.016,"36,047",0.041,"3,282",0.556,0.066,2.46,21200,"13,046",0.321,"1,557.20",216440000,0.286,0.005,0.055,0.066,1291413000,0.127,0.422,"15,024",0.483,"32,135","$36,376 ",0.456,NA,"$192,400 ",0.091,0.745,0.122,23.15,0.001,"$22,697 ",0.536,378644000,0.863,"$46,195 "
Edgemoor ,Delaware,F,26.6,NA,0.224,0.165,0.073,F,0.323,0.011,0.117,F,"5,677",0.024,367,0.63,0.066,2.25,23240,"2,395",0.399,"3,042.30",D,0.401,0.003,F,0.047,D,0.234,0.348,"2,968",0.599,"5,992",D,0.577,NA,"$197,500 ",0.082,0.894,-0.053,1.87,0,"$29,526 ",0.536,1845000,0.899,"$52,091 "
Milford ,Delaware,F,21.4,533777000,0.244,0.143,0.09,F,0.158,0.012,0.174,F,"9,559",0.027,"1,289",0.603,0.078,2.42,47420,"3,727",0.266,"1,011.30",68406000,0.263,0.005,S,0.158,328897000,S,0.223,"4,126",0.65,"6,732","$39,712 ",0.591,NA,"$194,000 ",0.175,0.853,0.42,9.45,0.002,"$22,221 ",0.529,27911000,0.834,"$44,982 "
Georgetown ,Delaware,S,19.5,D,0.291,0.19,0.328,F,0.15,0.011,0.122,S,"6,422",0.037,"1,035",0.527,0.117,2.95,29090,"2,058",0.323,"1,273.40",3688000,0.252,0.043,F,0.478,143146000,S,0.145,"2,030",0.466,"4,643","$28,084 ",0.353,NA,"$207,800 ",0.415,0.894,0.383,5.04,0.001,"$18,518 ",0.497,18160000,0.67,"$42,905 "
Brookside ,Delaware,S,22.9,NA,0.249,0.062,0.089,F,0.193,0.031,0.112,0.031,"14,353",0.038,907,0.67,0.072,2.7,9850,"5,308",0.231,"3,636.40",80007000,0.376,0.004,0.042,0.112,104202000,0.085,0.191,"5,543",0.681,"14,806",NA,0.638,NA,"$198,700 ",0.143,0.878,-0.031,3.95,Z,"$23,945 ",0.522,7606000,0.878,"$53,470 "
Middletown ,Delaware,F,32.3,346673000,0.31,0.087,0.073,F,0.311,0.038,0.097,S,"18,871",0.032,"1,419",0.813,0.084,2.84,47030,"5,862",0.101,"1,625.70",33896000,0.372,0.002,S,0.074,271815000,0.118,0.284,"6,821",0.619,"6,161","$24,448 ",0.582,NA,"$269,200 ",0.108,0.846,2.063,11.61,Z,"$27,834 ",0.529,31860000,0.921,"$67,500 "
Hockessin ,Delaware,F,25.4,NA,0.24,0.038,0.11,F,0.606,0.096,0.188,F,"13,527",0.015,"1,491",0.902,0.046,2.76,35850,"4,617",0.077,"1,347.20",31998000,0.343,0.002,0.076,0.03,142890000,S,0.029,"4,950",0.852,"12,902",NA,0.83,NA,"$445,900 ",0.139,0.94,0.048,10.04,0.001,"$55,170 ",0.511,19593000,0.975,"$125,319 "
North Star ,Delaware,F,28.1,NA,0.255,0.012,0.074,F,0.599,0.078,0.119,F,"7,980",0.012,911,0.987,0.039,2.9,52490,"2,733",0,"1,173.20",1002000,S,Z,F,0.017,D,S,0.031,"2,794",0.875,"8,277",D,0.861,NA,"$449,500 ",0.1,0.959,-0.036,6.8,0,"$53,846 ",0.509,2866000,0.978,"$136,932 "
Pike Creek ,Delaware,F,26,NA,0.214,0.025,0.119,F,0.516,0.106,0.124,F,"7,898",0.015,"1,473",0.905,0.05,2.51,56490,"3,108",0.05,"2,860.60",950000,0.341,0.002,0.049,0.028,59749000,S,0.037,"3,221",0.836,"19,751",NA,0.813,NA,"$339,100 ",0.172,0.907,-0.6,2.76,0,"$47,551 ",0.533,10054000,0.972,"$106,111 "
Elsmere ,Delaware,F,21.7,NA,0.242,0.147,0.155,F,0.113,0.017,0.112,F,"6,131",0.038,410,0.603,0.076,2.52,24540,"2,420",0.305,"6,094.40",14040000,0.244,0.008,F,0.238,23261000,F,0.131,"2,664",0.696,"5,800","$4,072 ",0.597,NA,"$177,200 ",0.224,0.829,0.057,1.01,0,"$23,606 ",0.521,3983000,0.781,"$48,399 "
New Castle ,Delaware,F,25.9,338536000,0.187,0.041,0.055,F,0.323,0.012,0.164,S,"5,285",0.026,711,0.687,0.051,2.28,50800,"2,305",0.254,"1,554.90",246686000,0.113,0.003,S,0.054,694515000,0.198,0.272,"2,497",0.673,"4,862","$139,545 ",0.647,NA,"$220,600 ",0.074,0.889,0.087,3.4,0,"$31,727 ",0.543,30019000,0.871,"$57,693 "
Wilmington ,Delaware,0.004,20.5,397235000,0.244,0.239,0.063,F,0.251,0.01,0.116,0.023,"70,851",0.026,"8,502",0.486,0.073,2.33,77580,"29,406",0.366,"6,497.70",700033000,S,0.004,0.042,0.124,1105731000,0.125,0.58,"32,820",0.326,"72,664","$15,219 ",0.279,NA,"$179,200 ",0.143,0.776,-0.025,10.9,Z,"$25,228 ",0.525,198105000,0.805,"$38,386 "
Pike Creek Valley ,Delaware,F,24.3,NA,0.195,0.039,0.123,F,0.461,0.078,0.134,F,"11,217",0.026,F,0.676,0.056,2.17,56500,"5,174",0.365,"4,356.10",NA,F,0.002,F,0.06,NA,F,0.083,"5,244",0.793,NA,NA,0.759,NA,"$259,900 ",0.145,0.858,NA,2.58,0,"$38,464 ",0.529,NA,0.95,"$66,543 "
Newark ,Delaware,F,19.1,3070018000,0.107,0.26,0.102,F,0.521,0.071,0.094,0.036,"31,454",0.023,"2,508",0.566,0.028,2.5,50670,"9,542",0.354,"3,424.50",349493000,0.248,0.002,0.08,0.048,894934000,S,0.067,"10,475",0.824,"28,547","$29,721 ",0.794,NA,"$293,500 ",0.169,0.584,0.102,9.19,Z,"$23,561 ",0.533,138633000,0.946,"$53,118 "
Glasgow ,Delaware,F,31.7,NA,0.252,0.066,0.162,F,0.358,0.057,0.07,S,"14,303",0.029,"1,087",0.874,0.067,2.92,29350,"5,367",0.089,"1,441.10",D,0.249,0.003,0.078,0.05,226117000,S,0.251,"5,290",0.643,"12,840",NA,0.619,NA,"$273,700 ",0.18,0.892,0.114,9.93,Z,"$33,104 ",0.513,34572000,0.947,"$88,535 "
Smyrna ,Delaware,F,30.4,NA,0.278,0.158,0.031,F,0.166,0.015,0.12,S,"10,023",0.038,950,0.686,0.081,2.66,67310,"3,421",0.153,"1,690.50",5927000,0.324,0.003,0.043,0.059,190600000,S,0.291,"4,035",0.631,"5,679","$23,551 ",0.605,NA,"$206,600 ",0.069,0.821,0.765,5.93,Z,"$24,655 ",0.526,15040000,0.873,"$53,896 "
Wilmington Manor ,Delaware,F,21,NA,0.242,0.142,0.112,F,0.096,0.011,0.138,F,"7,889",0.03,289,0.782,0.065,2.76,77840,"2,854",0.136,"5,076.60",69272000,0.273,0.005,F,0.197,111617000,0.159,0.155,"3,039",0.686,"8,262",NA,0.615,NA,"$179,800 ",0.229,0.881,-0.045,1.55,Z,"$22,303 ",0.499,15134000,0.756,"$53,534 "
Washington ,District of Columbia,0.009,29.3,332844000,0.168,0.185,0.13,S,0.492,0.035,0.114,0.061,"601,723",0.029,"55,909",0.435,0.054,2.12,50000,"257,317",0.617,"9,856.60",2117990000,0.345,0.003,0.059,0.091,3843716000,0.282,0.507,"296,719",0.385,"572,059","$6,555 ",0.348,NA,"$443,300 ",0.146,0.8,0.052,61.05,0.001,"$42,078 ",0.528,4278171000,0.865,"$58,526 "
Heathrow ,Florida,F,23.9,NA,0.236,0.036,0.076,F,0.57,0.094,0.157,S,"5,896",0.018,774,0.8,0.05,2.47,29320,"2,394",0.155,"2,081.20",D,S,0.002,S,0.098,17882000,S,0.041,"2,798",0.83,"4,068",NA,0.75,NA,"$492,200 ",0.182,0.887,0.449,2.83,0.001,"$56,037 ",0.524,7812000,0.984,"$96,641 "
Celebration ,Florida,F,22.2,NA,0.256,0.044,0.129,F,0.585,0.032,0.092,F,"7,427",0.022,F,0.712,0.054,2.47,11285,"3,143",0.522,704.9,NA,F,0.002,F,0.112,NA,F,0.015,"4,086",0.91,"2,736",NA,0.819,NA,"$476,900 ",0.145,0.786,1.715,10.54,Z,"$48,149 ",0.524,NA,0.977,"$92,199 "
Willow Oak ,Florida,F,24.1,NA,0.317,0.168,0.208,F,0.082,0.005,0.071,F,"6,732",0.022,F,0.646,0.103,3.4,77862,"1,892",0.254,"2,131.10",NA,F,0.004,F,0.371,NA,F,0.071,"2,300",0.704,"4,917",NA,0.541,NA,"$124,000 ",0.34,0.822,0.369,3.16,Z,"$15,144 ",0.499,NA,0.734,"$45,530 "
Beverly Hills ,Florida,F,21.3,NA,0.178,0.206,0.089,F,0.139,0.012,0.333,S,"8,445",0.026,417,0.718,0.055,2.08,6125,"4,100",0.035,"2,853.00",D,S,0.004,S,0.08,20862000,S,0.035,"4,986",0.907,"8,317",NA,0.853,NA,"$104,700 ",0.097,0.813,0.015,2.96,Z,"$19,049 ",0.55,D,0.801,"$30,550 "
East Milton ,Florida,F,26.6,NA,0.169,0.218,0.018,F,0.074,0.005,0.096,F,"11,074",0.023,F,0.68,0.043,2.79,19275,"2,906",0.003,384.4,NA,F,0.009,F,0.041,NA,F,0.195,"3,395",0.761,NA,NA,0.729,NA,"$108,500 ",0.056,0.749,NA,28.81,0.001,"$15,194 ",0.362,NA,0.723,"$38,288 "
Punta Gorda ,Florida,F,19.3,NA,0.092,0.085,0.081,F,0.384,0.011,0.479,S,"16,641",0.013,"2,351",0.821,0.023,2.03,59200,"8,134",0.331,"1,108.90",29846000,S,0.002,F,0.045,232870000,S,0.033,"11,580",0.933,"14,344","$13,652 ",0.9,NA,"$347,700 ",0.101,0.852,0.16,15.01,Z,"$42,335 ",0.525,25101000,0.937,"$58,423 "
Lauderdale Lakes ,Florida,S,28.2,NA,0.248,0.201,0.462,S,0.154,0.012,0.156,S,"32,593",0.025,S,0.641,0.07,2.66,39525,"12,080",0.677,"8,852.00",51957000,S,0.002,S,0.054,243663000,S,0.806,"15,000",0.142,"31,705","$7,613 ",0.113,NA,"$122,600 ",0.34,0.857,0.028,3.68,Z,"$17,171 ",0.541,22915000,0.807,"$34,887 "
Forest City ,Florida,F,25.5,NA,0.233,0.087,0.155,F,0.296,0.043,0.127,S,"13,854",0.031,"1,426",0.641,0.049,2.67,23375,"5,148",0.285,"3,249.80",D,S,0.002,S,0.244,81608000,S,0.08,"5,603",0.792,"12,612",NA,0.623,NA,"$230,200 ",0.255,0.845,0.098,4.26,Z,"$32,784 ",0.515,12058000,0.92,"$50,138 "
Richmond West ,Florida,F,37.6,NA,0.262,0.08,0.512,F,0.224,0.02,0.092,0.756,"31,973",0.03,"3,964",0.869,0.06,3.62,60230,"8,965",0.009,"7,671.10",9977000,0.258,0.002,0.021,0.785,14828000,0.117,0.078,"9,366",0.823,"28,082",NA,0.118,NA,"$312,300 ",0.825,0.886,0.139,4.17,Z,"$22,603 ",0.514,3325000,0.859,"$70,033 "
Westchester ,Florida,F,31,NA,0.173,0.117,0.653,F,0.208,0.004,0.245,0.815,"29,862",0.012,"5,592",0.616,0.044,3,76075,"9,468",0.185,"7,577.30",37604000,0.273,0.001,S,0.911,541916000,0.045,0.012,"9,812",0.957,"30,271",NA,0.081,NA,"$316,700 ",0.917,0.903,-0.014,3.94,Z,"$20,018 ",0.527,D,0.74,"$43,560 "
East Lake ,Florida,F,29.9,D,0.201,0.072,0.096,F,0.446,0.035,0.201,S,"30,962",0.017,"3,208",0.808,0.034,2.37,19206,"13,195",0.334,"1,070.90",8224000,0.33,0.001,0.038,0.059,178338000,S,0.016,"14,982",0.923,"29,394",NA,0.875,NA,"$332,300 ",0.108,0.877,0.053,28.91,Z,"$44,310 ",0.522,16725000,0.97,"$71,853 "
Venice Gardens ,Florida,F,17.9,NA,0.144,0.065,0.073,F,0.221,0.014,0.315,F,"7,104",0.013,809,0.832,0.034,2.17,73950,"3,269",0.063,"2,915.10",2904000,S,0.001,F,0.05,23544000,F,0.009,"3,956",0.948,"7,466",NA,0.914,NA,"$186,300 ",0.074,0.882,-0.048,2.44,Z,"$23,836 ",0.531,13912000,0.932,"$40,876 "
Wimauma ,Florida,F,25.3,NA,0.363,0.302,0.248,F,0.041,0.009,0.063,F,"6,373",0.02,F,0.617,0.119,3.19,78025,"1,374",0.143,254.6,NA,F,0.01,F,0.734,NA,F,0.062,"1,802",0.685,"4,246",NA,0.188,NA,"$143,300 ",0.583,0.847,0.501,25.03,0.005,"$12,738 ",0.463,NA,0.533,"$30,962 "
Palm Bay ,Florida,S,25.6,2894826000,0.239,0.128,0.145,F,0.178,0.018,0.153,0.127,"103,190",0.036,"8,020",0.777,0.062,2.72,54000,"36,940",0.123,"1,570.60",122071000,0.333,0.005,0.025,0.141,719128000,0.146,0.179,"45,220",0.729,"79,413","$7,228 ",0.639,NA,"$159,200 ",0.158,0.846,0.299,65.7,0.001,"$20,936 ",0.517,70427000,0.877,"$44,528 "
Fuller Heights ,Florida,F,29.5,NA,0.274,0.098,0.107,F,0.204,0.018,0.108,F,"8,758",0.029,F,0.785,0.079,2.72,25025,"2,860",0.207,"1,799.80",NA,F,0.002,F,0.201,NA,F,0.086,"3,464",0.82,NA,NA,0.678,NA,"$168,800 ",0.206,0.854,NA,4.87,Z,"$25,259 ",0.511,NA,0.866,"$58,929 "
Fairview Shores ,Florida,S,20.7,NA,0.201,0.184,0.12,F,0.258,0.037,0.131,S,"10,239",0.038,"1,119",0.511,0.062,2.38,21750,"4,225",0.251,"3,378.10",90888000,0.352,0.004,S,0.14,185155000,S,0.181,"4,930",0.699,"13,898",NA,0.619,NA,"$208,600 ",0.188,0.781,-0.263,3.03,0.001,"$22,766 ",0.504,21166000,0.869,"$43,201 "
Deltona ,Florida,F,31.7,NA,0.252,0.111,0.092,F,0.142,0.013,0.13,0.216,"85,182",0.036,"6,291",0.856,0.062,2.86,17200,"29,400",0.036,"2,269.60",7593000,0.28,0.005,S,0.302,294309000,S,0.109,"34,089",0.767,"69,543","$3,490 ",0.569,NA,"$178,500 ",0.242,0.881,0.225,37.53,0.001,"$21,019 ",0.513,27171000,0.847,"$50,058 "
Pembroke Pines ,Florida,0.004,30.1,NA,0.237,0.064,0.371,F,0.315,0.049,0.148,0.363,"154,750",0.033,"18,865",0.788,0.057,2.77,55775,"54,264",0.372,"4,671.80",320494000,0.32,0.003,0.051,0.414,3020572000,0.17,0.198,"61,703",0.673,"137,427","$20,747 ",0.329,NA,"$277,600 ",0.48,0.869,0.126,33.12,Z,"$28,615 ",0.538,271310000,0.891,"$63,266 "
Holiday ,Florida,F,30.3,NA,0.2,0.15,0.092,F,0.103,0.014,0.212,S,"22,403",0.023,"1,846",0.717,0.058,2.25,31075,"9,912",0.113,"4,168.80",27217000,0.297,0.005,S,0.1,226691000,S,0.041,"12,484",0.895,"21,904",NA,0.827,NA,"$110,000 ",0.116,0.811,0.023,5.37,Z,"$20,697 ",0.514,17583000,0.816,"$37,477 "
Fern Park ,Florida,F,21.4,NA,0.188,0.135,0.106,F,0.312,0.018,0.19,S,"7,704",0.024,966,0.786,0.052,2.25,22250,"3,098",0.238,"3,873.30",32092000,S,0.005,F,0.16,103288000,F,0.082,"3,690",0.832,"8,318",NA,0.724,NA,"$202,800 ",0.129,0.917,-0.074,1.99,Z,"$27,941 ",0.513,7783000,0.904,"$43,958 "
DeBary ,Florida,F,28.6,NA,0.188,0.044,0.056,S,0.263,0.019,0.224,S,"19,320",0.018,"2,059",0.872,0.047,2.4,16675,"7,955",0.035,"1,018.70",29953000,0.332,0.003,S,0.091,65900000,S,0.04,"8,978",0.905,"15,559","$4,011 ",0.837,NA,"$231,000 ",0.097,0.897,0.242,18.97,Z,"$30,804 ",0.516,7787000,0.902,"$58,319 "
Jupiter Farms ,Florida,F,30.5,NA,0.222,0.061,0.089,F,0.309,0.01,0.104,F,"11,994",0.017,F,0.945,0.038,3.05,35890,"3,932",0.006,800.9,NA,F,0.002,F,0.086,NA,F,0.012,"4,437",0.948,NA,NA,0.877,NA,"$378,700 ",0.096,0.89,NA,14.98,Z,"$33,749 ",0.494,NA,0.924,"$94,138 "
Asbury Lake ,Florida,F,33.9,NA,0.31,0.016,0.024,F,0.229,0.013,0.097,F,"8,700",0.024,F,0.928,0.069,3.11,2187,"2,791",0.004,510.9,NA,F,0.005,F,0.067,NA,F,0.057,"3,048",0.888,"2,228",NA,0.843,NA,"$217,900 ",0.029,0.835,2.905,17.03,0.001,"$26,289 ",0.507,NA,0.946,"$71,062 "
Hutchinson Island South ,Florida,F,34.2,NA,0.017,0.083,0.102,F,0.319,0.006,0.693,F,"5,201",0.004,F,0.82,0.005,1.75,32993,"3,108",0.556,"1,209.80",NA,F,0.001,F,0.022,NA,F,0.002,"8,123",0.987,"4,846",NA,0.966,NA,"$283,800 ",0.091,0.784,0.073,4.3,0,"$39,210 ",0.536,NA,0.929,"$46,204 "
Warrington ,Florida,F,24.3,NA,0.236,0.182,0.053,F,0.189,0.025,0.14,F,"14,531",0.038,898,0.65,0.079,2.41,75200,"6,060",0.209,"2,097.10",2547000,0.316,0.011,F,0.053,88337000,S,0.218,"7,424",0.689,"15,207",NA,0.663,NA,"$116,500 ",0.079,0.814,-0.044,6.93,0.001,"$20,173 ",0.511,15242000,0.849,"$37,006 "
Leisure City ,Florida,F,32.4,NA,0.3,0.299,0.407,F,0.092,0.009,0.089,S,"22,655",0.026,"2,272",0.606,0.082,3.52,39950,"6,134",0.168,"6,803.30",D,0.28,0.002,S,0.749,112096000,0.18,0.175,"6,958",0.73,"22,152",NA,0.08,NA,"$184,200 ",0.75,0.838,0.023,3.33,Z,"$12,722 ",0.498,5136000,0.578,"$33,571 "
Conway ,Florida,F,23.5,NA,0.219,0.059,0.094,F,0.285,0.022,0.133,S,"13,467",0.023,"1,466",0.815,0.046,2.7,14050,"5,295",0.097,"3,940.00",4906000,0.229,0.003,S,0.165,36866000,S,0.037,"5,400",0.886,"14,394",NA,0.766,NA,"$242,400 ",0.183,0.9,-0.064,3.42,0.001,"$30,558 ",0.502,D,0.901,"$59,856 "
Palm Coast ,Florida,F,24.9,D,0.214,0.125,0.142,F,0.208,0.025,0.23,0.058,"75,180",0.025,"7,096",0.796,0.054,2.6,54200,"27,184",0.05,836.5,37101000,0.279,0.003,S,0.1,532450000,S,0.127,"35,058",0.799,"32,732","$7,490 ",0.728,NA,"$213,800 ",0.172,0.866,1.297,89.88,0.001,"$23,044 ",0.522,88362000,0.911,"$48,042 "
Pinewood ,Florida,F,28.3,NA,0.263,0.366,0.367,F,0.088,0.005,0.117,0.349,"16,520",0.027,"1,666",0.384,0.075,3.11,57250,"5,075",0.479,"9,391.70",D,S,0.002,S,0.228,180452000,0.491,0.753,"5,475",0.175,"16,523",NA,0.022,NA,"$184,500 ",0.491,0.857,Z,1.76,Z,"$11,986 ",0.518,10370000,0.673,"$26,917 "
Lehigh Acres ,Florida,F,33,NA,0.301,0.157,0.226,F,0.145,0.012,0.103,0.33,"86,784",0.033,"5,742",0.728,0.087,3.11,39925,"27,040",0.072,937.6,D,0.253,0.004,S,0.343,384276000,0.135,0.193,"38,995",0.675,"33,430",NA,0.442,NA,"$158,600 ",0.342,0.739,1.596,92.56,0.001,"$19,008 ",0.508,23145000,0.803,"$47,277 "
Richmond Heights ,Florida,F,29.5,NA,0.234,0.108,0.122,F,0.176,0.004,0.162,S,"8,541",0.028,476,0.744,0.056,3.45,60225,"2,566",0.039,"5,338.10",NA,S,0.003,F,0.25,616000,S,0.721,"2,874",0.228,"8,479",NA,0.029,NA,"$202,800 ",0.138,0.967,0.007,1.6,Z,"$15,521 ",0.541,NA,0.73,"$45,800 "
Pahokee ,Florida,F,26.7,NA,0.289,0.267,0.161,F,0.089,0.003,0.119,S,"5,649",0.029,368,0.617,0.08,3.2,53800,"1,749",0.204,"1,019.10",5390000,S,0.003,F,0.338,12224000,S,0.561,"2,002",0.289,"5,985","$1,841 ",0.097,NA,"$106,600 ",0.265,0.884,-0.056,5.54,0.001,"$14,974 ",0.489,3264000,0.613,"$36,518 "
Miami ,Florida,S,27.3,1079445000,0.184,0.273,0.581,S,0.222,0.01,0.16,0.625,"399,457",0.027,"85,146",0.356,0.06,2.56,45000,"149,077",0.603,"11,135.90",11188164000,0.287,0.003,0.02,0.7,5622524000,0.111,0.192,"183,994",0.726,"362,470","$13,240 ",0.119,NA,"$278,600 ",0.773,0.819,0.102,35.87,Z,"$19,745 ",0.502,1337750000,0.674,"$29,621 "
Brooksville ,Florida,F,25.6,NA,0.203,0.171,0.046,F,0.122,0.009,0.273,S,"7,719",0.021,"1,257",0.647,0.063,2.17,8800,"3,606",0.181,712.7,25697000,0.294,0.004,S,0.066,359063000,S,0.18,"4,339",0.769,"7,264","$43,745 ",0.727,NA,"$48,500 ",0.087,0.721,0.063,10.83,0.001,"$20,065 ",0.552,32490000,0.833,"$31,938 "
Cocoa ,Florida,F,21.1,188041000,0.23,0.27,0.1,F,0.152,0.011,0.168,0.032,"17,140",0.028,"1,935",0.585,0.078,2.35,13150,"7,429",0.328,"1,287.00",67871000,S,0.005,S,0.113,444590000,0.145,0.313,"8,603",0.592,"16,412","$26,760 ",0.542,NA,"$140,400 ",0.12,0.841,0.044,13.32,0.003,"$20,121 ",0.523,24252000,0.832,"$34,721 "
Memphis ,Florida,F,26.1,NA,0.281,0.251,0.171,F,0.14,0.003,0.151,S,"7,848",0.016,346,0.71,0.08,2.99,44175,"2,860",0.087,"2,539.00",D,S,0.006,F,0.285,7241000,S,0.363,"3,204",0.447,"7,264",NA,0.341,NA,"$160,700 ",0.272,0.9,0.08,3.09,0.002,"$16,580 ",0.51,D,0.648,"$37,963 "
Gateway ,Florida,F,24,NA,0.268,0.046,0.129,F,0.382,0.031,0.13,F,"8,401",0.023,F,0.797,0.065,2.97,25655,"2,989",0.148,"1,487.40",NA,F,0.002,F,0.112,NA,F,0.05,"4,108",0.879,"2,943",NA,0.791,NA,"$318,200 ",0.209,0.779,1.855,5.65,Z,"$36,334 ",0.507,NA,0.969,"$86,530 "
Minneola ,Florida,F,28.1,NA,0.296,0.177,0.127,F,0.221,0.025,0.086,S,"9,403",0.035,"1,076",0.746,0.082,2.9,45900,"3,107",0.064,909,18673000,S,0.006,F,0.203,52265000,S,0.113,"3,558",0.765,"5,435","$5,772 ",0.632,NA,"$204,300 ",0.126,0.838,0.73,10.34,0.001,"$21,085 ",0.521,3206000,0.903,"$55,503 "
Tarpon Springs ,Florida,F,27.9,NA,0.183,0.136,0.105,F,0.251,0.014,0.243,S,"23,484",0.021,"2,880",0.784,0.044,2.29,71150,"9,870",0.258,"2,577.00",89924000,0.288,0.003,0.038,0.073,483770000,S,0.064,"12,433",0.881,"21,003","$20,507 ",0.832,NA,"$203,500 ",0.169,0.85,0.118,9.11,0.001,"$27,500 ",0.52,43687000,0.862,"$44,457 "
Oakleaf Plantation ,Florida,F,32.7,NA,0.358,0.065,0.113,F,0.339,0.079,0.039,F,"20,315",0.045,F,0.819,0.091,3.26,50630,"5,540",0.07,"1,225.70",NA,F,0.003,F,0.13,NA,F,0.253,"6,924",0.588,NA,NA,0.512,NA,"$224,700 ",0.161,0.784,NA,16.57,0.001,"$24,570 ",0.518,NA,0.937,"$73,767 "
North Palm Beach (village),Florida,F,21.3,NA,0.14,0.064,0.089,F,0.381,0.017,0.293,S,"12,015",0.013,"1,908",0.785,0.033,2.02,49600,"6,025",0.588,"3,347.70",22801000,0.455,0.001,F,0.069,75478000,S,0.027,"7,710",0.933,"12,064","$6,188 ",0.878,NA,"$317,700 ",0.114,0.88,-0.004,3.59,Z,"$49,026 ",0.511,15186000,0.932,"$60,408 "
Melbourne ,Florida,F,21.4,2784613000,0.183,0.139,0.094,S,0.249,0.031,0.2,0.048,"76,068",0.031,"7,547",0.626,0.051,2.22,43975,"33,377",0.332,"2,246.40",675698000,0.272,0.003,S,0.089,1695416000,0.052,0.103,"38,955",0.809,"71,382","$21,908 ",0.751,NA,"$166,300 ",0.11,0.829,0.066,33.86,0.001,"$24,274 ",0.515,165764000,0.892,"$41,471 "
Yulee ,Florida,F,25,NA,0.232,0.054,0.023,F,0.122,0.009,0.112,F,"11,491",0.015,845,0.747,0.063,2.73,79175,"4,487",0.02,496.2,59341000,S,0.004,0.072,0.031,170066000,S,0.056,"4,714",0.905,"8,392",NA,0.888,NA,"$159,000 ",0.039,0.86,0.369,23.16,0.001,"$22,801 ",0.499,15235000,0.872,"$54,524 "
Jasmine Estates ,Florida,F,28.5,NA,0.233,0.216,0.122,F,0.09,0.012,0.181,S,"18,989",0.027,"1,088",0.683,0.063,2.4,35350,"7,923",0.145,"5,349.00",6821000,0.246,0.005,S,0.142,131401000,S,0.035,"9,335",0.883,"18,213",NA,0.793,NA,"$119,000 ",0.148,0.828,0.043,3.55,Z,"$17,075 ",0.525,40533000,0.803,"$31,389 "
Clearwater ,Florida,S,22,219563000,0.187,0.154,0.161,F,0.269,0.021,0.198,0.051,"107,685",0.024,"13,312",0.633,0.053,2.2,12875,"46,264",0.485,"4,212.70",902381000,0.238,0.005,0.031,0.142,2938827000,S,0.109,"59,156",0.798,"108,787","$27,680 ",0.711,NA,"$194,700 ",0.192,0.845,-0.01,25.56,0.001,"$26,886 ",0.517,361349000,0.872,"$41,742 "
Venice ,Florida,F,18.2,315924000,0.061,0.082,0.076,F,0.335,0.007,0.57,S,"20,748",0.007,"2,650",0.727,0.014,1.82,73900,"11,143",0.403,"1,358.90",95673000,S,0.001,F,0.027,511296000,F,0.006,"17,328",0.973,"17,764","$24,543 ",0.952,NA,"$224,100 ",0.073,0.858,0.168,15.27,Z,"$34,979 ",0.552,56970000,0.93,"$44,975 "
Treasure Island ,Florida,F,25.3,NA,0.086,0.078,0.104,F,0.414,0.008,0.295,F,"6,705",0.01,"1,184",0.636,0.019,1.78,72325,"3,854",0.598,"4,339.80",D,S,0.002,F,0.03,29592000,F,0.008,"5,801",0.967,"7,450","$3,979 ",0.942,NA,"$395,600 ",0.072,0.854,-0.1,1.55,Z,"$47,572 ",0.502,28207000,0.954,"$50,743 "
